accel_rms_mean,accel_rms_std,accel_delta,accel_roc,velocity_rms_z,peak_to_rms_ratio,motor_temp_delta,humidity_trend,load_pct,load_variance,multivariate_score
31.39,2.33,-4.5,-2.77,0.709,2.08,22.8,-0.413,0.388,6.3,0.127
30.05,2.35,-6.02,1.5,0.135,1.49,16.8,0.309,0.055,41.3,0.294
28.4,4.02,9.14,-1.63,-1.222,1.33,21.9,0.104,0.696,37.8,0.238
34.73,6.92,1.04,3.29,0.356,2.32,16.5,0.205,0.087,15.3,0.151
25.8,5.03,-7.98,-2.22,0.407,1.67,12.4,-0.29,0.264,47.1,0.277
31.1,4.23,4.58,-3.37,-0.362,2.49,17.8,0.057,0.598,42.9,0.322
27.3,2.42,-3.69,-2.32,-0.867,2.43,22.5,-0.185,0.574,22.8,0.37
29.6,5.44,-5.07,0.61,-0.712,1.96,23.0,-0.101,0.225,49.9,0.228
25.92,2.61,-7.81,1.27,0.876,1.75,6.3,-0.118,0.847,28.8,0.39
33.62,2.15,4.41,1.82,0.111,1.55,17.8,-0.388,0.398,25.4,0.384
33.77,5.43,0.01,-3.21,1.238,2.33,11.0,0.139,0.537,11.9,0.317
30.41,12.13,0.61,-4.99,-0.528,1.23,23.6,0.379,0.715,18.8,0.07
33.79,14.32,-8.29,-0.14,-1.292,2.19,20.3,-0.372,0.43,29.7,0.143
33.74,7.5,-5.76,0.39,0.69,1.46,11.2,0.495,0.57,24.7,0.231
26.23,4.92,-3.24,0.88,-0.81,1.49,6.4,0.131,0.233,45.7,0.351
25.72,5.1,3.38,-2.86,-1.103,2.42,16.4,-0.027,0.678,41.3,0.117
25.99,7.61,-1.53,-0.33,0.687,2.08,24.7,-0.402,0.372,20.3,0.352
27.51,4.48,-1.03,-0.78,-0.664,1.52,23.5,-0.057,0.739,29.8,0.068
35.01,12.88,9.38,4.26,1.046,1.42,14.7,-0.286,0.371,7.6,0.183
34.87,5.45,5.68,-0.45,-0.231,2.44,24.9,0.056,0.625,12.0,0.154
34.71,9.54,0.84,2.48,-1.329,1.96,15.1,0.353,0.176,48.2,0.078
26.88,9.74,3.5,-2.65,-1.14,2.36,9.9,0.095,0.546,23.9,0.254
30.25,14.16,-5.91,2.16,-0.784,1.71,18.4,-0.2,0.303,38.8,0.075
29.61,14.99,9.92,-4.27,-0.861,1.54,23.7,0.381,0.753,21.6,0.105
33.36,11.16,2.23,4.87,0.462,1.21,21.3,-0.201,0.581,47.3,0.097
26.18,3.39,1.06,-2.28,0.314,2.13,9.1,0.134,0.261,27.0,0.367
33.49,3.2,-1.53,-2.23,-1.489,2.2,17.7,-0.238,0.643,29.8,0.2
25.13,2.98,7.66,4.04,0.137,2.28,16.7,-0.352,0.152,18.9,0.365
32.99,13.2,7.98,-2.9,-0.751,1.33,20.6,0.384,0.375,32.9,0.104
34.33,13.25,9.52,3.11,1.144,1.23,19.7,-0.168,0.795,41.1,0.352
33.14,5.47,5.75,-3.92,1.117,2.32,9.4,0.317,0.418,18.7,0.328
27.31,2.31,-6.14,-1.72,1.093,2.46,10.6,0.141,0.37,49.2,0.238
34.43,3.5,9.41,-3.21,1.388,1.55,7.2,-0.065,0.633,19.1,0.262
30.15,7.02,1.53,-2.45,0.626,1.2,23.5,0.038,0.626,38.4,0.285
28.68,2.91,3.28,-1.7,-0.558,2.3,19.4,-0.2,0.297,23.4,0.191
27.99,3.66,-1.59,4.4,0.532,2.37,17.3,-0.199,0.488,5.0,0.15
29.34,9.55,3.09,-0.35,-0.174,1.48,14.5,0.401,0.687,12.6,0.08
30.19,10.24,-3.3,3.18,0.753,2.07,9.5,-0.301,0.07,16.0,0.216
33.54,2.95,-1.71,1.3,-0.917,2.11,14.9,-0.256,0.575,5.2,0.313
32.74,3.39,-1.5,-3.24,1.374,1.87,6.0,-0.251,0.729,25.5,0.33
31.72,14.86,1.91,4.5,1.174,2.0,19.4,0.005,0.714,29.7,0.364
32.48,8.18,-4.82,-2.53,0.413,2.2,15.4,0.127,0.27,8.5,0.15
27.76,6.17,0.8,-3.62,-0.806,2.1,19.1,-0.436,0.376,29.4,0.196
27.12,7.47,8.1,0.84,0.587,2.31,20.3,-0.12,0.055,20.8,0.314
